Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1609;FOX SPORTS 3 HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1610;DSPORTS HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1612;D SPORTS 2 HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1613;D SPORTS+ HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1620;TYC SPORTS HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1621;ESPN HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1622;ESPN 2 HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1623;ESPN 3 HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1631;DSPORTS RADIO HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1656;DEPORTV HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1700;DNEWS;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1715;LN+ HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1716;TODO NOTICIAS HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1717;C5N HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1719;A24 HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1720;CANAL 26 HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1721;AR 12 HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1724;TV PERÚ NOTICIAS HD;HD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1730;NATIONAL GEOGRAPHIC HD;HD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1732;DISCOVERY HD;HD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1734;ANIMAL PLANET HD;HD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1742;HISTORY HD;HD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1764;FRANCE 24;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1789;TV CIUDAD HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1795;TV PERÚ HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1804;ESCUELA+ HD;HD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;120;AMÉRICA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;121;TV PÚBLICA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;122;EL NUEVE;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;123;TELEFÉ;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;124;EL TRECE;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;125;NET TV;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;126;BRAVO TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;127;DSHOW;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;128;ENCUENTRO;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;129;CANAL DE LA CIUDAD;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;130;CANAL 7 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;131;CANAL 9 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;132;CANAL 13 DE RÍO CUARTO;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;133;CANAL 7 DE JUJUY;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;134;CANAL 3 DE ROSARIO;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV ORO PLUS 4K;135;CANAL 12 DE CÓRDOBA;SD;NACIONAL
