Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
BARBADOS;POSPAGO;GOLD / GOLD +;1201;ON DIRECTV HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;1204;STAR CHANNEL HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1206;WARNER HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1207;A&E LA HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1208;SONY EAST HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1209;AXN HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1210;AMC LA HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1213;TNT SERIES HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1215;COMEDY CENTRAL HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1217;FX HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1218;UNIVERSAL HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1219;USA HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1222;E! HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;1223;ID HD;HD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;1228;LIFETIME LA HD;HD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;1229;DISCOVERY HOME & HEALTH HD;HD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;1264;MTV LA HD;HD;MUSICAL
BARBADOS;POSPAGO;GOLD / GOLD +;1304;CARTOON NETWORK HD;HD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;1308;NICKELODEON LA HD;HD;INFANTIL
